Address,lon,lat
"THOMSON HILLS ESTATE, SEMBAWANG HILLS DRIVE, Singapore",103.8304256,1.3759852
"THOMSON HILLS ESTATE, THOMSON TERRACE, Singapore",103.831668,1.379557
"THOMSON HILLS ESTATE, THOMSON HILL, Singapore",103.8327101,1.3775115
"THOMSON HILLS ESTATE, THOMSON HILLS DRIVE, Singapore",103.831839,1.3786478
"THOMSON HILLS ESTATE, THOMSON GREEN, Singapore",103.8317917,1.3789236
"THOMSON HILLS ESTATE, THOMSON CLOSE, Singapore",103.8341732,1.3780099
"THOMSON GARDEN ESTATE, SIN MING ROAD, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN PINTAU, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN CHEGAR, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN KUAK, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN ISNIN, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN CHEMPAH, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN KHAMIS, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN HARI RAYA, Singapore",103.8370358,1.3538872
"THOMSON GARDEN ESTATE, JALAN RABU, Singapore",103.8370358,1.3538872
"THE VILLAS @ SENTOSA COVE, OCEAN DRIVE, Singapore",103.8394622,1.2467881
"THE SPRINGSIDE, SPRINGSIDE LINK, Singapore",103.820985,1.4037743
"THE SPRINGSIDE, SPRINGSIDE WALK, Singapore",103.8192709,1.4042457
"THE SPRINGSIDE, SPRINGSIDE VIEW, Singapore",103.8214381,1.4056695
"THE SPRINGSIDE, SPRINGSIDE DRIVE, Singapore",103.8204305,1.4034423
"THE SPRINGSIDE, SPRINGSIDE PLACE, Singapore",103.8220465,1.4044955
"THE SPRINGSIDE, SPRINGSIDE AVENUE, Singapore",103.8204305,1.4034423
"THE SPRINGSIDE, SPRINGSIDE CRESCENT, Singapore",103.8233807,1.4058978
"THE SPRINGSIDE, SPRINGSIDE GREEN, Singapore",103.8192709,1.4042457
"THE SHORELINE RESIDENCES II, WAK HASSAN DRIVE, Singapore",103.819836,1.352083
"THE RIVERINA, RIVERINA CRESCENT, Singapore",103.819836,1.352083
"THE RIVERINA, RIVERINA VIEW, Singapore",103.9442144,1.3780076
"THE RIVERINA, RIVERINA WALK, Singapore",103.819836,1.352083
"THE MORNING DEW, JALAN TARI PAYONG, Singapore",103.871391,1.3990466
"THE MONDRIAN, HINDHEDE PLACE, Singapore",103.7758915,1.3457423
"THE INGLEWOOD, THE INGLEWOOD, Singapore",103.8299504,1.3606866
"THE GREENWOOD, GREENWOOD AVENUE, Singapore",103.804956,1.3373615
"THE GREENWOOD, GREENWOOD LANE, Singapore",103.804956,1.3373615
"THE GREENWOOD, GREENWOOD TERRACE, Singapore",103.804956,1.3373615
"THE COUNTRYSIDE, COUNTRYSIDE ROAD, Singapore",103.8399181,1.3895586
"THE COUNTRYSIDE, COUNTRYSIDE VIEW, Singapore",103.8405215,1.3885924
"THE COUNTRYSIDE, COUNTRYSIDE GROVE, Singapore",103.8392821,1.3890449
"THE COUNTRYSIDE, COUNTRYSIDE PLACE, Singapore",103.8394783,1.3884787
"THE CLEMENTVALE, MAS KUNING TERRACE, Singapore",103.7642434,1.3073438
"THE BERTHSIDE, OCEAN DRIVE, Singapore",103.819836,1.352083
"TENGGIRIA, JALAN TENGGIRI, Singapore",103.9143143,1.3077945
"TEACHERS' HOUSING ESTATE, IQBAL AVENUE, Singapore",103.8310997,1.3804607
"TEACHER'S HOUSING ESTATE, TU FU AVENUE, Singapore",103.8310997,1.3804607
"TEACHER'S HOUSING ESTATE, IQBAL AVENUE, Singapore",103.8310997,1.3804607
"TEACHER'S HOUSING ESTATE, TAGORE AVENUE, Singapore",103.8310997,1.3804607
"TEACHER'S HOUSING ESTATE, OMAR KHAYYAM AVENUE, Singapore",103.8310997,1.3804607
"TEACHER'S HOUSING ESTATE, KALIDASA AVENUE, Singapore",103.8310997,1.3804607
"TEACHER'S HOUSING ESTATE, LI PO AVENUE, Singapore",103.8310997,1.3804607
"TANAH MERAH PARK, TANAH MERAH BESAR LANE, Singapore",103.819836,1.352083
"TANAH MERAH GREEN, TANAH MERAH KECHIL RIDGE, Singapore",103.9447733,1.3305515
"TANAH MERAH GREEN, TANAH MERAH KECHIL RISE, Singapore",103.9464897,1.3272444
"TAI YUAN GARDEN, TAI YUAN HEIGHTS, Singapore",103.819836,1.352083
"TAI PENG GARDENS, JALAN RENGKAM, Singapore",103.8891116,1.3625425
"TAI KENG VILLAS, JALAN KELICHAP, Singapore",103.8813281,1.3469001
"TAI KENG GARDENS, TAI KENG GARDENS, Singapore",103.8849541,1.3472032
"TAI KENG GARDENS, TAI KENG AVENUE, Singapore",103.8858731,1.3475861
"TAI KENG GARDENS, JALAN LOKAM, Singapore",103.8851483,1.3489793
"TAI KENG GARDENS, TAI KENG TERRACE, Singapore",103.8858377,1.3480621
"TAI HWAN PARK, TAI HWAN DRIVE, Singapore",103.8594344,1.355786
"TAI HWAN PARK, TAI HWAN CRESCENT, Singapore",103.8606959,1.3554663
"TAI HWAN GARDEN, TAI HWAN HEIGHTS, Singapore",103.8596425,1.3573165
"TAI HWAN GARDEN, TAI HWAN WALK, Singapore",103.8613311,1.3566108
"TAI HWAN GARDEN, TAI HWAN AVENUE, Singapore",103.8609856,1.3563394
"TAI HWAN GARDEN, TAI HWAN GROVE, Singapore",103.8601269,1.3569596
"TAI HWAN GARDEN, TAI HWAN TERRACE, Singapore",103.8596425,1.3573165
"TAI HWAN GARDEN, TAI HWAN PLACE, Singapore",103.8605791,1.3566359
"TAI HWAN GARDEN, TAI HWAN LANE, Singapore",103.8616578,1.3570536
"SWISS CLUB PARK, SWISS CLUB ROAD, Singapore",103.7904091,1.3439171
"SURIN GARDENS, SURIN AVENUE, Singapore",103.8834588,1.3559879
"SUNRISE VILLA, SUNRISE DRIVE, Singapore",103.8567557,1.3867459
"SUNRISE VILLA, SUNRISE CLOSE, Singapore",103.8567557,1.3867459
"SUNRISE VILLA, SUNRISE PLACE, Singapore",103.8567557,1.3867459
"SUNRISE VILLA, SUNRISE TERRACE, Singapore",103.8567557,1.3867459
"SUNRISE VILLA, SUNRISE AVENUE, Singapore",103.8567557,1.3867459
"SUNBIRD PARK, SUNBIRD ROAD, Singapore",103.9578182,1.3378585
"SUMMERLEA GREEN, KISMIS ROAD, Singapore",103.819836,1.352083
"SUMMERLEA GREEN, KISMIS GREEN, Singapore",103.8503404,1.2811866
"SUMMER PLACE, SUMMER PLACE, Singapore",103.8689835,1.3566617
"STRATTON PARK, STRATTON ROAD, Singapore",103.8663369,1.3803252
"STRATTON PARK, STRATTON DRIVE, Singapore",103.8663369,1.3803252
"STRATTON PARK, STRATTON PLACE, Singapore",103.8663369,1.3803252
"STRATTON GREEN, STRATTON DRIVE, Singapore",103.8650425,1.3822266
"STRATTON GREEN, NIM GREEN, Singapore",103.8652455,1.382841
"STRAITS GARDENS, ANDREWS TERRACE, Singapore",103.8383374,1.4582533
"STRAITS GARDENS, ANDREWS AVENUE, Singapore",103.8375896,1.4581815
"ST NICHOLAS VIEW, ST. NICHOLAS VIEW, Singapore",103.8328308,1.3735416
"ST ANNE'S WOOD, ST. ANNE'S WOOD, Singapore",103.903146,1.3914304
"SRI MENANTI ESTATE, JERVOIS ROAD, Singapore",103.819836,1.352083
"SPRINGWOOD, SPRINGWOOD WALK, Singapore",103.7907186,1.2787797
"SPRINGWOOD, SPRINGWOOD CRESCENT, Singapore",103.7914328,1.2784962
"SPRINGWOOD, SPRINGWOOD CLOSE, Singapore",103.79043,1.2781926
"SPRINGWOOD, JALAN MAT JAMBOL, Singapore",103.7918909,1.2783301
"SPRINGWOOD, SPRINGWOOD HEIGHT, Singapore",103.7913132,1.2799822
"SPRINGLEAF GREEN, SPRINGLEAF CRESCENT, Singapore",103.8253933,1.3993477
"SPRINGLEAF GARDEN, SPRINGLEAF VIEW, Singapore",103.8206752,1.3975593
"SPRINGLEAF GARDEN, SPRINGLEAF CRESCENT, Singapore",103.8243884,1.3987029
"SPRINGLEAF GARDEN, SPRINGLEAF GARDEN, Singapore",103.8219498,1.3979615
"SPRINGLEAF GARDEN, SPRINGLEAF AVENUE, Singapore",103.8209588,1.3991533
"SPRINGLEAF GARDEN, SPRINGLEAF HEIGHT, Singapore",103.8243884,1.3987029
"SPRINGLEAF GARDEN, SPRINGLEAF ROAD, Singapore",103.8220495,1.3974462
"SPRINGLEAF GARDEN, SPRINGLEAF LANE, Singapore",103.8214903,1.3967461
"SPRINGLEAF GARDEN, SPRINGLEAF RISE, Singapore",103.8243884,1.3987029
"SPRINGLEAF GARDEN, SPRINGLEAF DRIVE, Singapore",103.8243884,1.3987029
"SPRINGLEAF GARDEN, SPRINGLEAF WALK, Singapore",103.8198222,1.3964673
"SPRINGDEW TERRACE, JAMBOL WALK, Singapore",103.7904943,1.2780928
"SPRINGDEW TERRACE, JALAN MAT JAMBOL, Singapore",103.7904943,1.2780928
"SPRINGBROOK TERRACE, JALAN MARIAM, Singapore",103.819836,1.352083
"SPRINGBROOK TERRACE, UPPER CHANGI ROAD NORTH, Singapore",103.819836,1.352083
"SPRING PARK ESTATE, PRIMROSE AVENUE, Singapore",103.9345991,1.3158098
"SPRING PARK ESTATE, UPPER EAST COAST ROAD, Singapore",103.9410437,1.3149833
"SPRING PARK ESTATE, JALAN REMIS, Singapore",103.9362594,1.3151001
"SPRING PARK ESTATE, JALAN KUPANG, Singapore",103.9367603,1.3151968
"SOUTH UNION PARK, ELITE TERRACE, Singapore",103.9131889,1.3251366
"SOUTH UNION PARK, ELITE PARK AVENUE, Singapore",103.9242988,1.3150496
"SOO CHOW GARDEN, SOO CHOW RISE, Singapore",103.8308094,1.353435
"SOO CHOW GARDEN, SOO CHOW DRIVE, Singapore",103.8312309,1.3538999
"SOO CHOW GARDEN, SOO CHOW VIEW, Singapore",103.8303861,1.3530022
"SOO CHOW GARDEN, SOO CHOW GARDEN ROAD, Singapore",103.8312309,1.3538999
"SIN CHUAN GARDEN, WARINGIN PARK, Singapore",103.9184286,1.3223009
"SIMEI GARDEN, SEA BREEZE WALK, Singapore",103.949471,1.3399194
"SIMEI GARDEN, JALAN SOO BEE, Singapore",103.9514527,1.3365478
"SILVER HILL, JALAN NAUNG, Singapore",103.8932019,1.368968
"SILVER HILL, UPPER SERANGOON ROAD, Singapore",103.8932019,1.368968
"SILAHIS VILLE, LORONG MELAYU, Singapore",103.909784,1.323665
"SIGLAP PARK, WOO MON CHEW ROAD, Singapore",103.9294957,1.3153401
"SIGLAP GARDEN, SIGLAP GARDENS, Singapore",103.9256377,1.3117114
"SIEW LIM PARK, BEDOK ROAD, Singapore",103.9512758,1.3264564
"SIEW LIM PARK, BEDOK LANE, Singapore",103.9479887,1.3288153
"SIEW LIM PARK, UPPER BEDOK ROAD, Singapore",103.9478841,1.3295502
"SHEPHERD'S HILL ESTATE, BARBARY WALK, Singapore",103.806634,1.2916556
"SHEPHERD'S HILL ESTATE, MERINO CRESCENT, Singapore",103.806634,1.2916556
"SHEPHERD'S HILL ESTATE, SHEPHERDS DRIVE, Singapore",103.806634,1.2916556
"SHANGRI-LA PARK, SHANGRI-LA WALK, Singapore",103.8330263,1.3697877
"SHAN YAO GARDEN, YUK TONG AVENUE, Singapore",103.819836,1.352083
"SHAMROCK PARK, NAMLY DRIVE, Singapore",103.796665,1.3238401
"SHAMROCK PARK, NAMLY PLACE, Singapore",103.7976496,1.3233465
"SHAMROCK PARK, NAMLY CRESCENT, Singapore",103.7954755,1.3265109
"SHAMROCK PARK, NAMLY GARDEN, Singapore",103.7954034,1.3245325
"SHAMROCK PARK, NAMLY RISE, Singapore",103.7941236,1.3263808
"SHAMROCK PARK, NAMLY AVENUE, Singapore",103.7979048,1.3265332
"SHAMROCK PARK, NAMLY VIEW, Singapore",103.797943,1.3251271
"SHAMROCK PARK, NAMLY HILL, Singapore",103.7990256,1.3257779
"SEVEN OAKS, OLD HOLLAND ROAD, Singapore",103.7865392,1.3296495
"SERENE PARK, TAMARIND ROAD, Singapore",103.8605158,1.3892077
"SERANGOON PARK, JALAN SUKACHITA, Singapore",103.8665724,1.3483951
"SERANGOON PARK, JALAN GIRANG, Singapore",103.8665724,1.3483951
"SERANGOON PARK, JALAN RIANG, Singapore",103.8665724,1.3483951
"SERANGOON PARK, WOLSKEL ROAD, Singapore",103.8665724,1.3483951
"SERANGOON GARDEN PARK, JALAN PACHELI, Singapore",103.8628072,1.3559844
"SERANGOON GARDEN ESTATE, JALAN CHULEK, Singapore",103.8678792,1.3663575
"SERANGOON GARDEN ESTATE, CHISELHURST GROVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, COWDRAY AVENUE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, COLCHESTER GROVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, KINGSWEAR AVENUE, Singapore",103.8655765,1.3680783
"SERANGOON GARDEN ESTATE, PORTCHESTER AVENUE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, PENSHURST PLACE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, CONISTON GROVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, HUDDINGTON AVENUE, Singapore",103.8651785,1.3677293
"SERANGOON GARDEN ESTATE, WORTHING ROAD, Singapore",103.8679411,1.3683276
"SERANGOON GARDEN ESTATE, HYTHE ROAD, Singapore",103.8673922,1.3685347
"SERANGOON GARDEN ESTATE, FARLEIGH AVENUE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, CHARTWELL DRIVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, BRIDPORT AVENUE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, BLOXHOME DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, MEDWAY DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, HEMSLEY AVENUE, Singapore",103.8655332,1.3689598
"SERANGOON GARDEN ESTATE, CONWAY GROVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, BROCKHAMPTON DRIVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, BRAEMAR DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, BORTHWICK DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, COURT ROAD, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, SERANGOON GARDEN WAY, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, CARDIFF GROVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, BLANDFORD DRIVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, CARISBROOKE GROVE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, JALAN HWI YOH, Singapore",103.8733129,1.3637587
"SERANGOON GARDEN ESTATE, TAVISTOCK AVENUE, Singapore",103.8627024,1.36869
"SERANGOON GARDEN ESTATE, KENSINGTON PARK ROAD, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, BERWICK DRIVE, Singapore",103.8607998,1.3636994
"SERANGOON GARDEN ESTATE, BODMIN DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, BURGHLEY DRIVE, Singapore",103.864699,1.3612148
