"","unique_project_names","latitudes","longitudes"
"163","THOMSON VIEW CONDOMINIUM","1.3565859","103.8307857"
"164","HERTFORD MANSION","1.3131994","103.8484825"
"165","THE PALLADIUM","1.303363","103.903881"
"166","EAST VIEW","1.303832","103.903509"
"167","HOUGANG GREEN","1.3795596","103.8880715"
"168","BUCKLEY CLASSIQUE","1.3180928","103.8403975"
"169","THREE BUCKLEY","1.3170825","103.8398562"
"170","BUCKLEY 18","1.3181262","103.8409692"
"171","THE JADE","1.3490472","103.7490059"
"172","HILLVIEW REGENCY","1.3520756","103.7587824"
"173","REGENT HEIGHTS","1.3523748","103.7560359"
"174","PARK NATURA","1.3470598","103.7654295"
"175","THE DEW","1.3464761","103.7560373"
"176","PARKVIEW APARTMENTS","1.3410979","103.7603929"
"177","THE MADEIRA","1.3573993","103.7496348"
"178","LE QUEST","1.3557424","103.7414889"
"179","GUILIN VIEW","1.3554423","103.7527669"
"180","THE RAINTREE","1.3486814","103.7742677"
"181","MAPLE WOODS","1.4381922","103.7889597"
"182","FLORIDIAN","1.333012","103.786021"
"183","THE LEGEND","1.3187075","103.8294363"
"184","FERRELL RESIDENCES","1.3178992","103.8324263"
"185","THE LEGACY","1.3212339","103.8227595"
"186","THE STERLING","1.3356007","103.782056"
"187","THE CASCADIA","1.3334285","103.7873976"
"188","GOODWOOD RESIDENCE","1.3160141","103.8360941"
"189","SIXTH AVENUE CENTRE","1.3313942","103.7950469"
"190","WING ON LIFE GARDEN","1.3176707","103.83166"
"191","THE NEXUS","1.3212343","103.8811129"
"192","MADISON RESIDENCES","1.3187907","103.8300676"
"193","SECOND AVENUE JUNCTION","1.329899","103.7994724"
"194","CORONATION SHOPPING PLAZA","1.3239058","103.8099918"
"195","CASA ESPERANZA","1.3346809","103.7832734"
"196","JAYA TOWER","1.3203249","103.8239926"
"197","BUTTERWORTH 8","1.3122169","103.8951159"
"198","BUTTERWORTH VIEW","1.3125366","103.8951771"
"199","THE SILVER FIR","1.3125247","103.8948849"
"200","DAWN VILLE","1.3125613","103.8945811"
"201","WORTHINGTON","1.352083","103.819836"
"202","GRANDE VISTA","1.3886702","103.8532379"
"203","FLORAVILLE","1.3919333","103.85134"
"204","HILLTOPS","1.3074538","103.8384657"
"205","HELIOS RESIDENCES","1.3067773","103.8379522"
"206","THE LIGHT @ CAIRNHILL","1.3065945","103.8385915"
"207","THE PEAK @ CAIRNHILL II","1.3081745","103.8379745"
"208","CAIRNHILL RESIDENCES","1.3079038","103.8391041"
"209","CAIRNHILL CREST","1.305477","103.8384256"
"210","THE PROMONT","1.3076552","103.8378383"
"211","THE PEAK @ CAIRNHILL I","1.3081745","103.8379745"
"212","THE VERMONT ON CAIRNHILL","1.308584","103.8384426"
"213","ALBA","1.3305555","103.6480484"
"214","CAIRNHILL ASTORIA","1.3069985","103.839562"
"215","CAIRNHILL PLAZA","1.3063319","103.8368636"
"216","ELIZABETH HEIGHTS","1.3075987","103.836724"
"217","THE LAURELS","1.3047718","103.8376447"
"218","CAIRNHILL NINE","1.303817","103.837257"
"219","THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL","1.3079884","103.8362855"
"220","THE EDGE ON CAIRNHILL","1.3089072","103.8368689"
"221","URBAN RESORT CONDOMINIUM","1.3041279","103.8377685"
"222","CAMBRIDGE VILLAGE","1.2811866","103.8503404"
"223","D'CAMBRIDGE","1.3146314","103.8485731"
"224","THE VISIONAIRE","1.4457721","103.8256807"
"225","1 CANBERRA","1.437577","103.8301655"
"226","YISHUN EMERALD","1.4394297","103.8308567"
"227","THE BROWNSTONE","1.4458727","103.8271901"
"228","EIGHT COURTYARDS","1.4384717","103.8308322"
"229","CANBERRA RESIDENCES","1.4450317","103.8250973"
"230","YISHUN SAPPHIRE","1.4403359","103.8304275"
"231","THE BEACON","1.2760017","103.8405073"
"232","CARDIFF RESIDENCE","1.355027","103.8660465"
"233","MERA SPRINGS","1.3149582","103.8468142"
"234","CARLYX GREEN","1.3131639","103.8478248"
"235","THE CARPMAELINA","1.3129152","103.8981589"
"236","CARPMAEL THIRTY-EIGHT","1.3131984","103.8978964"
"237","CASHEW PARK CONDOMINIUM","1.3728961","103.7679522"
"238","CASHEW HEIGHTS CONDOMINIUM","1.3728961","103.7679522"
"239","ESPA","1.258493","103.816118"
"240","CAVAN SUITES","1.3108751","103.8612423"
"241","CAVENAGH COURT","1.3099235","103.8431818"
"242","WATERSCAPE AT CAVENAGH","1.3041727","103.8406466"
"243","CAVENAGH GARDENS","1.3055282","103.8410468"
"244","HIJAUAN","1.3036134","103.8411883"
"245","TOWNHOUSE APARTMENTS","1.3092361","103.8425657"
"246","MARINA BAY SUITES","1.2805888","103.8521632"
"247","IVORY","1.352083","103.819836"
"248","PRESIDIO","1.352083","103.819836"
"249","SPRING @ KATONG","1.3055411","103.9029237"
"250","LEVILLE ISUITES","1.3058632","103.9027476"
"251","THE VANDERLINT","1.3080579","103.9008884"
"252","CEYLON CREST","1.3060932","103.9026105"
"253","BELLEZZA @ KATONG","1.3068623","103.9021193"
"254","CHANCERY PARK","1.3192603","103.8370363"
"255","CHANCERY ESQUIRE","1.3178294","103.8363879"
"256","SING LIAN BUILDING","1.3184398","103.9109162"
"257","THE LENOX","1.3185132","103.9112724"
"258","MILLAGE","1.3169742","103.8990086"
"259","SUITES@CHANGI","1.3170478","103.9046245"
"260","MERA EAST","1.3182016","103.9092639"
"261","THE ADARA","1.3063968","103.9077193"
"262","THE REGENCY AT TIONG BAHRU","1.2821842","103.8301556"
"263","VILLA AZURA","1.3321655","103.7930017"
"264","ECO SANCTUARY","1.3705461","103.7758018"
"265","TREE HOUSE","1.3700385","103.7765049"
