"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"92791",92791,92791,"CASHEW HEIGHTS CONDOMINIUM, CASHEW ROAD, Singapore","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD",131775,2320000,"2023-03-01","Strata",154,15065,"Condominium",23,"Outside Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,1882,857,"2m-2.5m","100+",103.7679522,1.3728961,"West"
"137856",137856,137856,"WATER PLACE, TANJONG RHU ROAD, Singapore","WATER PLACE","TANJONG RHU ROAD",110612,2050000,"2023-06-01","Strata",113,18142,"Condominium",15,"Rest of Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,1998,73,"2m-2.5m","70-100",103.8724397,1.2967588,"East"
"5621",5621,5621,"Block 107, RIVERVALE WALK, Singapore","HDB","RIVERVALE WALK",37016,490000,"2022-12-01","Non",101,4851.485149,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1999,75.25,"400k-500k","70-100",103.9009283,1.3833793,"East"
"7585",7585,7585,"Block 113A, MCNAIR RD, Singapore","HDB","MCNAIR RD",81689,848000,"2022-08-01","Non",93,9118.27957,"Premium Apartment HDB",14,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,2017,94.33333333,"800k-900k","70-100",103.8580753,1.3194691,"East"
"35295",35295,35295,"Block 298C, COMPASSVALE ST, Singapore","HDB","COMPASSVALE ST",62812,620000,"2022-02-01","Non",134,4626.865672,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2001,78.5,"600k-700k","70-100",103.8980618,1.3951499,"North"
"114985",114985,114985,"PATERSON SUITES, PATERSON ROAD, Singapore","PATERSON SUITES","PATERSON ROAD",119945,13800000,"2022-12-01","Strata",619,22294,"Condominium",9,"Core Central Region","21 to 25","Apartment & Condo",5,7,3,1,1,NA,NA,"10m-15m",NA,103.830199,1.3010688,"South"
"70307",70307,70307,"Block 634, ANG MO KIO AVE 6, Singapore","HDB","ANG MO KIO AVE 6",23744,435000,"2021-02-01","Non",91,4780.21978,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1980,58.41666667,"400k-500k","50-70",103.8451154,1.3760492,"Central"
"80234",80234,80234,"Block 754, WOODLANDS CIRCLE, Singapore","HDB","WOODLANDS CIRCLE",26406,448000,"2021-03-01","Non",122,3672.131148,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1997,75.75,"400k-500k","70-100",103.798085,1.4444853,"North"
"86230",86230,86230,"Block 868A, TAMPINES AVE 8, Singapore","HDB","TAMPINES AVE 8",46566,533000,"2021-08-01","Non",92,5793.478261,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2015,92.91666667,"500k-600k","70-100",103.9305734,1.3527568,"East"
"79054",79054,79054,"Block 726, JURONG WEST AVE 5, Singapore","HDB","JURONG WEST AVE 5",71353,690000,"2022-08-01","Non",146,4726.027397,"Maisonette HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1992,69,"600k-700k","50-70",103.696943,1.3465872,"West"
"81395",81395,81395,"Block 780, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",9693,352000,"2021-02-01","Non",84,4190.47619,"Simplified HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1988,66,"300k-400k","50-70",103.8321027,1.4260651,"North"
"87726",87726,87726,"Block 895C, WOODLANDS DR 50, Singapore","HDB","WOODLANDS DR 50",56315,580000,"2023-04-01","Non",123,4715.447154,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1997,72.75,"500k-600k","70-100",103.7935814,1.4370612,"North"
"23171",23171,23171,"Block 21, HOUGANG AVE 3, Singapore","HDB","HOUGANG AVE 3",10496,358000,"2023-04-01","Non",73,4904.109589,"New Generation HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1978,54.16666667,"300k-400k","50-70",103.8908706,1.3527672,"East"
"121045",121045,121045,"SIGNATURE AT YISHUN, YISHUN STREET 51, Singapore","SIGNATURE AT YISHUN","YISHUN STREET 51",96797,1230000,"2022-07-01","Strata",110,11182,"Executive Condominium",27,"Outside Central Region","01 to 05","Executive Condo",2,0,1,1,1,2014,89,"1m-1.25m","70-100",103.8448951,1.4172839,"North"
"23230",23230,23230,"Block 21, TELOK BLANGAH CRES, Singapore","HDB","TELOK BLANGAH CRES",6108,328888,"2021-01-01","Non",76,4327.473684,"Improved HDB",3,"Rest of Central Region","6 to 10","Public Housing",3,0,1,1,1,1975,53.41666667,"300k-400k","50-70",103.820226,1.2770566,"South"
"94834",94834,94834,"COMMONWEALTH TOWERS, COMMONWEALTH AVENUE, Singapore","COMMONWEALTH TOWERS","COMMONWEALTH AVENUE",109979,2098000,"2022-09-01","Strata",96,21854,"Condominium",3,"Rest of Central Region","31 to 35","Apartment & Condo",2,0,1,1,1,2013,88,"2m-2.5m","70-100",103.80554,1.2960092,"South"
"135036",135036,135036,"THE WISTERIA, YISHUN RING ROAD, Singapore","THE WISTERIA","YISHUN RING ROAD",127161,688000,"2023-03-01","Strata",41,16780,"Apartment",27,"Outside Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,2015,90,"600k-700k","70-100",103.8412765,1.4181439,"North"
"23480",23480,23480,"Block 211, BOON LAY PL, Singapore","HDB","BOON LAY PL",4532,315000,"2023-08-01","Non",65,4846.153846,"Improved HDB",22,"Outside Central Region","16 to 20","Public Housing",3,0,1,1,1,1976,52.41666667,"300k-400k","50-70",103.7128869,1.3468732,"West"
"75617",75617,75617,"Block 683C, EDGEDALE PLAINS, Singapore","HDB","EDGEDALE PLAINS",60349,603000,"2023-05-01","Non",93,6483.870968,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2018,94.33333333,"600k-700k","70-100",103.9132309,1.3984254,"North"
"9001",9001,9001,"Block 119A, CANBERRA CRES, Singapore","HDB","CANBERRA CRES",54467,570000,"2023-09-01","Non",93,6129.032258,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2018,93.5,"500k-600k","70-100",103.8299021,1.4467709,"North"
"6806",6806,6806,"Block 110, HOUGANG AVE 1, Singapore","HDB","HOUGANG AVE 1",4385,315000,"2021-11-01","Non",67,4701.492537,"New Generation HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1982,60,"300k-400k","50-70",103.889824,1.3544184,"East"
"68004",68004,68004,"Block 612, SENJA RD, Singapore","HDB","SENJA RD",53182,565000,"2022-08-01","Non",110,5136.363636,"Improved HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2002,78.75,"500k-600k","70-100",103.7619062,1.38666,"West"
"93061",93061,93061,"CASUARINA COVE, TANJONG RHU ROAD, Singapore","CASUARINA COVE","TANJONG RHU ROAD",117628,1160000,"2021-11-01","Strata",75,15467,"Condominium",15,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1993,68,"1m-1.25m","50-70",103.8746003,1.297519,"East"
"116009",116009,116009,"QUBE SUITES, JALAN PUNAI, Singapore","QUBE SUITES","JALAN PUNAI",135010,650000,"2023-01-01","Strata",39,16667,"Apartment",14,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"600k-700k",NA,103.9080711,1.3298124,"East"
"7367",7367,7367,"Block 113, ANG MO KIO AVE 4, Singapore","HDB","ANG MO KIO AVE 4",41092,510000,"2021-11-01","Non",92,5543.478261,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1978,55.25,"500k-600k","50-70",103.839342,1.3762852,"Central"
"106148",106148,106148,"LANDED HOUSING DEVELOPMENT, CHWEE CHIAN ROAD, Singapore","LANDED HOUSING DEVELOPMENT","CHWEE CHIAN ROAD",91031,5851000,"2022-09-01","Land",421.7,13875,"Terrace House",5,"Rest of Central Region","-","Landed",5,3,3,1,1,NA,NA,"5m-10m",NA,103.7891501,1.2791956,"South"
"20925",20925,20925,"Block 1B, CANTONMENT RD, Singapore","HDB","CANTONMENT RD",86896,1138000,"2021-02-01","Non",108,10537.03704,"Type S2 HDB",2,"Rest of Central Region","31 to 35","Public Housing",3,0,2,1,1,2011,89,"1m-1.25m","70-100",103.840929,1.2759397,"South"
"97367",97367,97367,"ECHELON, ALEXANDRA VIEW, Singapore","ECHELON","ALEXANDRA VIEW",116455,2718000,"2023-08-01","Strata",122,22279,"Condominium",3,"Rest of Central Region","21 to 25","Apartment & Condo",3,0,2,1,1,2012,87,"2.5m-3m","70-100",103.8180961,1.2907661,"South"
"89894",89894,89894,"Block 961, JURONG WEST ST 92, Singapore","HDB","JURONG WEST ST 92",28057,455000,"2021-03-01","Non",120,3791.666667,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1989,67.58333333,"400k-500k","50-70",103.6901993,1.3412762,"West"
"123982",123982,123982,"STRATUM, ELIAS ROAD, Singapore","STRATUM","ELIAS ROAD",119468,625000,"2022-11-01","Strata",42,14881,"Condominium",18,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2012,87,"600k-700k","70-100",103.9429655,1.3793936,"East"
"38266",38266,38266,"Block 312A, CLEMENTI AVE 4, Singapore","HDB","CLEMENTI AVE 4",52384,560000,"2023-01-01","Non",69,8115.942029,"Model A HDB",5,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2017,93.66666667,"500k-600k","70-100",103.7660987,1.3186409,"South"
"80328",80328,80328,"Block 757, WOODLANDS AVE 4, Singapore","HDB","WOODLANDS AVE 4",51314,555000,"2022-11-01","Non",122,4549.180328,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1997,74.25,"500k-600k","70-100",103.7957198,1.4381579,"North"
"5546",5546,5546,"Block 107, BT BATOK WEST AVE 6, Singapore","HDB","BT BATOK WEST AVE 6",51210,555000,"2022-05-01","Non",128,4335.9375,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1985,61.83333333,"500k-600k","50-70",103.7429384,1.3534631,"West"
"70122",70122,70122,"Block 632A, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",46386,530168,"2023-03-01","Non",93,5700.731183,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2007,83.83333333,"500k-600k","70-100",103.9125114,1.4025582,"North"
"24058",24058,24058,"Block 214, JURONG EAST ST 21, Singapore","HDB","JURONG EAST ST 21",15275,385000,"2023-08-01","Non",68,5661.764706,"New Generation HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1983,58.58333333,"300k-400k","50-70",103.7433629,1.3369679,"West"
"1195",1195,1195,"AMBER POINT, AMBER ROAD, Singapore","AMBER POINT","AMBER ROAD",124722,3e+06,"2024-02-01","Strata",157,19108,"Condominium",15,"Rest of Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,NA,NA,"3m-4m",NA,103.898488,1.2988384,"East"
"61509",61509,61509,"Block 523, SERANGOON NTH AVE 4, Singapore","HDB","SERANGOON NTH AVE 4",68866,667000,"2023-11-01","Non",122,5467.213115,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,2,1,1,1992,67.91666667,"600k-700k","50-70",103.8722146,1.3646819,"East"
"129293",129293,129293,"THE LAKESHORE, JURONG WEST STREET 41, Singapore","THE LAKESHORE","JURONG WEST STREET 41",105914,1280000,"2021-08-01","Strata",107,11963,"Condominium",22,"Outside Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,2002,77,"1.25m-1.5m","70-100",103.819836,1.352083,"Central"
"21948",21948,21948,"Block 203, JURONG EAST ST 21, Singapore","HDB","JURONG EAST ST 21",70044,680000,"2021-04-01","Non",121,5619.834711,"Improved HDB",22,"Outside Central Region","16 to 20","Public Housing",3,0,2,1,1,1984,62.16666667,"600k-700k","50-70",103.7433629,1.3369679,"West"
"69916",69916,69916,"Block 630, HOUGANG AVE 8, Singapore","HDB","HOUGANG AVE 8",27176,450000,"2022-04-01","Non",84,5357.142857,"Simplified HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1986,63.66666667,"400k-500k","50-70",103.8882516,1.3746983,"East"
"3099",3099,3099,"BELLEWATERS, ANCHORVALE CRESCENT, Singapore","BELLEWATERS","ANCHORVALE CRESCENT",96559,1520000,"2023-01-01","Strata",108,14074,"Executive Condominium",19,"Outside Central Region","11 to 15","Executive Condo",2,0,1,1,1,2013,88,"1.5m-2m","70-100",103.8910415,1.3993024,"North"
"108478",108478,108478,"LIVIA, PASIR RIS GROVE, Singapore","LIVIA","PASIR RIS GROVE",128197,1468000,"2022-03-01","Strata",125,11744,"Condominium",18,"Outside Central Region","06 to 10","Apartment & Condo",3,0,2,1,1,2008,83,"1.25m-1.5m","70-100",103.9439115,1.3723997,"East"
"57243",57243,57243,"Block 488, ADMIRALTY LINK, Singapore","HDB","ADMIRALTY LINK",35090,482000,"2023-12-01","Non",96,5020.833333,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2010,85.75,"400k-500k","70-100",103.8175844,1.4552133,"North"
"126022",126022,126022,"THE BAYSHORE, BAYSHORE ROAD, Singapore","THE BAYSHORE","BAYSHORE ROAD",124252,1930000,"2023-05-01","Strata",133,14511,"Condominium",16,"Outside Central Region","16 to 20","Apartment & Condo",3,0,2,1,1,1993,68,"1.5m-2m","50-70",103.9392756,1.3127006,"East"
"93004",93004,93004,"CASTLE GREEN, YIO CHU KANG ROAD, Singapore","CASTLE GREEN","YIO CHU KANG ROAD",111349,1300000,"2023-04-01","Strata",107,12150,"Condominium",26,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1993,68,"1.25m-1.5m","50-70",103.840822,1.3865164,"Central"
"139893",139893,139893,"WOOLLERTON PARK, WOOLLERTON PARK, Singapore","WOOLLERTON PARK","WOOLLERTON PARK",87350,1.8e+07,"2021-07-01","Land",879.1,20475,"Detached House",10,"Core Central Region","-","Landed",5,12,3,1,1,NA,NA,"15m-20m",NA,103.8094563,1.3179816,"South"
"117646",117646,117646,"RIVER ISLES, EDGEDALE PLAINS, Singapore","RIVER ISLES","EDGEDALE PLAINS",122213,1300000,"2022-08-01","Strata",107,12150,"Condominium",19,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2012,87,"1.25m-1.5m","70-100",103.9132309,1.3984254,"North"
"123728",123728,123728,"STIRLING RESIDENCES, STIRLING ROAD, Singapore","STIRLING RESIDENCES","STIRLING ROAD",106764,1130000,"2023-06-01","Strata",47,24043,"Apartment",3,"Rest of Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2017,92,"1m-1.25m","70-100",103.80484,1.2916794,"South"
"102621",102621,102621,"HILLVIEW REGENCY, BUKIT BATOK EAST AVENUE 2, Singapore","HILLVIEW REGENCY","BUKIT BATOK EAST AVENUE 2",118220,1250000,"2024-01-01","Strata",103,12136,"Condominium",23,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2000,75,"1.25m-1.5m","70-100",103.7587824,1.3520756,"West"
"77082",77082,77082,"Block 699B, HOUGANG ST 52, Singapore","HDB","HOUGANG ST 52",27916,453000,"2021-06-01","Non",100,4530,"Model A HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,1998,76.5,"400k-500k","70-100",103.8894006,1.3767515,"East"
"114211",114211,114211,"PARC ROSEWOOD, ROSEWOOD DRIVE, Singapore","PARC ROSEWOOD","ROSEWOOD DRIVE",118286,615000,"2022-10-01","Strata",40,15375,"Condominium",25,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2011,86,"600k-700k","70-100",103.7859845,1.4284716,"North"
"68392",68392,68392,"Block 615B, EDGEFIELD PLAINS, Singapore","HDB","EDGEFIELD PLAINS",42753,518000,"2022-03-01","Non",92,5630.434783,"Model A HDB",19,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2012,89.83333333,"500k-600k","70-100",103.9090538,1.4008414,"North"
"15983",15983,15983,"Block 160, JLN TECK WHYE, Singapore","HDB","JLN TECK WHYE",29856,460000,"2023-07-01","Non",101,4554.455446,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1998,73.75,"400k-500k","70-100",103.7576493,1.3799998,"West"
"111786",111786,111786,"NV RESIDENCES, PASIR RIS GROVE, Singapore","NV RESIDENCES","PASIR RIS GROVE",128518,935000,"2023-07-01","Strata",74,12635,"Condominium",18,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2008,83,"900k-1m","70-100",103.9440066,1.3718385,"East"
"68660",68660,68660,"Block 619, ANG MO KIO AVE 4, Singapore","HDB","ANG MO KIO AVE 4",80363,818000,"2023-02-01","Non",135,6059.259259,"Model A HDB",20,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1996,72.25,"800k-900k","70-100",103.839342,1.3762852,"Central"
"82961",82961,82961,"Block 804A, KEAT HONG CL, Singapore","HDB","KEAT HONG CL",24798,440000,"2021-01-01","Non",93,4731.182796,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2017,95.33333333,"400k-500k","70-100",103.7425722,1.3744652,"West"
"136784",136784,136784,"URBAN VISTA, TANAH MERAH KECHIL LINK, Singapore","URBAN VISTA","TANAH MERAH KECHIL LINK",123686,650000,"2021-09-01","Strata",40,16250,"Condominium",16,"Outside Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2012,87,"600k-700k","70-100",103.944488,1.3274163,"East"
"66613",66613,66613,"Block 6, BOON KENG RD, Singapore","HDB","BOON KENG RD",66885,650000,"2021-08-01","Non",108,6018.518519,"Model A HDB",1,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1996,74.33333333,"600k-700k","70-100",103.8645024,1.3153712,"East"
"97434",97434,97434,"ECO SANCTUARY, CHESTNUT AVENUE, Singapore","ECO SANCTUARY","CHESTNUT AVENUE",123398,1780000,"2023-12-01","Strata",108,16481,"Condominium",23,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2012,87,"1.5m-2m","70-100",103.7758018,1.3705461,"West"
"19882",19882,19882,"Block 189, BT BATOK WEST AVE 6, Singapore","HDB","BT BATOK WEST AVE 6",55938,580000,"2022-01-01","Non",120,4833.333333,"Improved HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1997,74.25,"500k-600k","70-100",103.7429384,1.3534631,"West"
"14258",14258,14258,"Block 145, WOODLANDS ST 13, Singapore","HDB","WOODLANDS ST 13",26227,445000,"2023-07-01","Non",93,4784.946237,"New Generation HDB",25,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1985,60.75,"400k-500k","50-70",103.7775041,1.4349471,"North"
"49218",49218,49218,"Block 420, BEDOK NTH ST 1, Singapore","HDB","BEDOK NTH ST 1",10710,360000,"2021-06-01","Non",68,5294.117647,"New Generation HDB",16,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1979,56.75,"300k-400k","50-70",103.9308139,1.3272469,"East"
"113475",113475,113475,"PARC EMILY, MOUNT EMILY ROAD, Singapore","PARC EMILY","MOUNT EMILY ROAD",133323,2050000,"2023-12-01","Strata",90,22778,"Condominium",9,"Core Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,NA,NA,"2m-2.5m",NA,103.847599,1.3045756,"South"
"113050",113050,113050,"PALM ISLES, FLORA DRIVE, Singapore","PALM ISLES","FLORA DRIVE",108937,1210000,"2023-10-01","Strata",92,13152,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2011,86,"1m-1.25m","70-100",103.9642805,1.3565477,"East"
"82108",82108,82108,"Block 794, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",47442,538000,"2021-04-01","Non",121,4446.280992,"Improved HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1987,64.83333333,"500k-600k","50-70",103.8321027,1.4260651,"North"
"61371",61371,61371,"Block 522, JELAPANG RD, Singapore","HDB","JELAPANG RD",60500,605000,"2022-03-01","Non",121,5000,"Improved HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,75.5,"600k-700k","70-100",103.7672353,1.3859416,"West"
"99066",99066,99066,"FARRER PARK SUITES, OWEN ROAD, Singapore","FARRER PARK SUITES","OWEN ROAD",120673,660000,"2022-12-01","Strata",40,16500,"Apartment",8,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"600k-700k",NA,103.8536777,1.3132474,"East"
"7527",7527,7527,"Block 113, TECK WHYE LANE, Singapore","HDB","TECK WHYE LANE",23512,432000,"2021-07-01","Non",121,3570.247934,"Improved HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1989,66.58333333,"400k-500k","50-70",103.7526191,1.3788984,"West"
"6129",6129,6129,"Block 109, ALJUNIED CRES, Singapore","HDB","ALJUNIED CRES",4347,315000,"2021-08-01","Non",60,5250,"Improved HDB",14,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1986,63.5,"300k-400k","50-70",103.8856818,1.3202748,"East"
"63661",63661,63661,"Block 546, HOUGANG ST 51, Singapore","HDB","HOUGANG ST 51",35461,485000,"2021-12-01","Non",103,4708.737864,"Model A HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,1992,69.83333333,"400k-500k","50-70",103.8878715,1.3801872,"East"
"86203",86203,86203,"Block 868, TAMPINES ST 83, Singapore","HDB","TAMPINES ST 83",68206,660000,"2022-01-01","Non",121,5454.545455,"Improved HDB",18,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1989,66.25,"600k-700k","50-70",103.9344639,1.353207,"East"
"121763",121763,121763,"SKIES MILTONIA, MILTONIA CLOSE, Singapore","SKIES MILTONIA","MILTONIA CLOSE",103349,1090000,"2022-01-01","Strata",90,12111,"Condominium",27,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2012,87,"1m-1.25m","70-100",103.8482886,1.4182077,"North"
"2466",2466,2466,"BARTLEY RIDGE, MOUNT VERNON ROAD, Singapore","BARTLEY RIDGE","MOUNT VERNON ROAD",106109,1480000,"2023-12-01","Strata",79,18734,"Condominium",13,"Rest of Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2012,87,"1.25m-1.5m","70-100",103.8804802,1.3406976,"East"
"44046",44046,44046,"Block 353C, ADMIRALTY DR, Singapore","HDB","ADMIRALTY DR",49508,548000,"2021-03-01","Non",113,4849.557522,"Improved HDB",27,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2002,80,"500k-600k","70-100",103.8171115,1.4506213,"North"
"50143",50143,50143,"Block 428B, YISHUN AVE 11, Singapore","HDB","YISHUN AVE 11",66713,648000,"2023-04-01","Non",112,5785.714286,"Improved HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2015,91,"600k-700k","70-100",103.8447187,1.424577,"North"
"23876",23876,23876,"Block 213, JURONG EAST ST 21, Singapore","HDB","JURONG EAST ST 21",59983,6e+05,"2023-08-01","Non",124,4838.709677,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1982,58.16666667,"600k-700k","50-70",103.7433629,1.3369679,"West"
"84229",84229,84229,"Block 815C, CHOA CHU KANG AVE 7, Singapore","HDB","CHOA CHU KANG AVE 7",29220,460000,"2021-07-01","Non",93,4946.236559,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2017,94.75,"400k-500k","70-100",103.7466605,1.3749472,"West"
"8029",8029,8029,"Block 115, RIVERVALE WALK, Singapore","HDB","RIVERVALE WALK",63745,625000,"2023-12-01","Non",122,5122.95082,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,74,"600k-700k","70-100",103.9009283,1.3833793,"East"
"15681",15681,15681,"Block 158, LOR 1 TOA PAYOH, Singapore","HDB","LOR 1 TOA PAYOH",11045,360000,"2023-01-01","Non",65,5538.461538,"Improved HDB",12,"Rest of Central Region","6 to 10","Public Housing",3,0,1,1,1,1972,48,"300k-400k","40-50",103.8481821,1.3397621,"Central"
"56904",56904,56904,"Block 484, PASIR RIS DR 4, Singapore","HDB","PASIR RIS DR 4",45365,528000,"2024-03-01","Non",105,5028.571429,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1992,67.83333333,"500k-600k","50-70",103.9609009,1.3735869,"East"
"102846",102846,102846,"HOOVER PARK, CHUN TIN ROAD, Singapore","HOOVER PARK","CHUN TIN ROAD",91860,4600000,"2022-02-01","Land",296.3,15525,"Terrace House",21,"Rest of Central Region","-","Landed",5,0,3,1,1,NA,NA,"4m-5m",NA,103.7730586,1.3438729,"West"
"101690",101690,101690,"HIGH PARK RESIDENCES, FERNVALE ROAD, Singapore","HIGH PARK RESIDENCES","FERNVALE ROAD",100230,1300000,"2023-07-01","Strata",91,14286,"Apartment",28,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2014,89,"1.25m-1.5m","70-100",103.8751347,1.396412,"North"
"45926",45926,45926,"Block 39, CAMBRIDGE RD, Singapore","HDB","CAMBRIDGE RD",59539,6e+05,"2022-04-01","Non",102,5882.352941,"Model A HDB",15,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,74.66666667,"600k-700k","70-100",103.8485505,1.3149686,"South"
"12044",12044,12044,"Block 130, RIVERVALE ST, Singapore","HDB","RIVERVALE ST",41651,510000,"2023-12-01","Non",100,5100,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1999,74.33333333,"500k-600k","70-100",103.9034796,1.3884505,"East"
"45034",45034,45034,"Block 365C, UPP SERANGOON RD, Singapore","HDB","UPP SERANGOON RD",78503,780000,"2023-11-01","Non",92,8478.26087,"Model A HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2018,93.25,"700k-800k","70-100",103.8824703,1.3576474,"East"
"46522",46522,46522,"Block 40, CIRCUIT RD, Singapore","HDB","CIRCUIT RD",4496,315000,"2023-01-01","Non",54,5833.333333,"Standard HDB",14,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1971,47.16666667,"300k-400k","40-50",103.8883199,1.3263918,"East"
"40121",40121,40121,"Block 322, TAMPINES ST 33, Singapore","HDB","TAMPINES ST 33",29035,459999,"2022-03-01","Non",109,4220.174312,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1995,72.66666667,"400k-500k","70-100",103.9600783,1.352159,"East"
"25044",25044,25044,"Block 22, BEDOK STH AVE 1, Singapore","HDB","BEDOK STH AVE 1",16060,390000,"2022-07-01","Non",73,5342.465753,"New Generation HDB",16,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1977,53.91666667,"300k-400k","50-70",103.9337491,1.320875,"East"
"8625",8625,8625,"Block 117A, JLN TENTERAM, Singapore","HDB","JLN TENTERAM",80875,828000,"2023-11-01","Non",93,8903.225806,"Model A HDB",7,"Core Central Region","21 to 25","Public Housing",4,0,2,1,1,2017,93,"800k-900k","70-100",103.8594238,1.3270591,"East"
