"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"13758",13758,13758,"Block 141, BISHAN ST 12, Singapore","HDB","BISHAN ST 12",80012,810000,"2022-01-01","Non",130,6230.769231,"Improved HDB",20,"Rest of Central Region","6 to 10","Public Housing",3,0,2,1,1,1988,65.58333333,"800k-900k","50-70",103.8508562,1.3464862,"East"
"122102",122102,122102,"SKYPARK RESIDENCES, SEMBAWANG CRESCENT, Singapore","SKYPARK RESIDENCES","SEMBAWANG CRESCENT",98691,1538888,"2022-04-01","Strata",122,12614,"Executive Condominium",27,"Outside Central Region","06 to 10","Executive Condo",3,0,2,1,1,2013,88,"1.5m-2m","70-100",103.8201859,1.4440614,"North"
"27020",27020,27020,"Block 232A, SERANGOON AVE 2, Singapore","HDB","SERANGOON AVE 2",83522,890000,"2021-04-01","Non",140,6357.142857,"Apartment HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,2,1,1,1998,76.25,"800k-900k","70-100",103.8699198,1.3515525,"East"
"76688",76688,76688,"Block 692B, CHOA CHU KANG CRES, Singapore","HDB","CHOA CHU KANG CRES",28484,455000,"2023-03-01","Non",90,5055.555556,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2003,79,"400k-500k","70-100",103.7481519,1.4033017,"North"
"75842",75842,75842,"Block 684D, EDGEDALE PLAINS, Singapore","HDB","EDGEDALE PLAINS",79535,8e+05,"2022-12-01","Non",113,7079.646018,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2018,94.75,"800k-900k","70-100",103.9132309,1.3984254,"North"
"65771",65771,65771,"Block 577, WOODLANDS DR 16, Singapore","HDB","WOODLANDS DR 16",28907,458000,"2023-01-01","Non",91,5032.967033,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2000,76.83333333,"400k-500k","70-100",103.7946235,1.4302168,"North"
"46097",46097,46097,"Block 393, YISHUN AVE 6, Singapore","HDB","YISHUN AVE 6",32377,470000,"2024-01-01","Non",105,4476.190476,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1988,63.75,"400k-500k","50-70",103.8453055,1.432994,"North"
"8655",8655,8655,"Block 117B, JLN TENTERAM, Singapore","HDB","JLN TENTERAM",47631,538000,"2023-03-01","Non",67,8029.850746,"Model A HDB",14,"Downtown Core","11 to 15","Public Housing",3,0,1,1,1,2017,93.75,"500k-600k","70-100",103.8594238,1.3270591,"East"
"122758",122758,122758,"SOLEIL @ SINARAN, SINARAN DRIVE, Singapore","SOLEIL @ SINARAN","SINARAN DRIVE",119606,2650000,"2023-05-01","Strata",134,19776,"Condominium",11,"Core Central Region","31 to 35","Apartment & Condo",3,0,2,1,1,2006,81,"2.5m-3m","70-100",103.845458,1.3191734,"South"
"24720",24720,24720,"Block 217C, COMPASSVALE DR, Singapore","HDB","COMPASSVALE DR",64828,633000,"2021-11-01","Non",92,6880.434783,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,94.58333333,"600k-700k","70-100",103.8969344,1.3878883,"East"
"49675",49675,49675,"Block 424B, YISHUN AVE 11, Singapore","HDB","YISHUN AVE 11",6513,330000,"2023-01-01","Non",47,7021.276596,"2-room HDB",27,"Outside Central Region","6 to 10","Public Housing",1,0,1,1,1,2015,92,"300k-400k","70-100",103.8447187,1.424577,"North"
"116359",116359,116359,"RANGOON 88, RANGOON ROAD, Singapore","RANGOON 88","RANGOON ROAD",133289,850000,"2023-05-01","Strata",52,16346,"Apartment",8,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"800k-900k",NA,103.8542311,1.3142276,"East"
"85782",85782,85782,"Block 858, YISHUN AVE 4, Singapore","HDB","YISHUN AVE 4",27214,450000,"2022-05-01","Non",104,4326.923077,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1988,65.25,"400k-500k","50-70",103.8406564,1.4185912,"North"
"137635",137635,137635,"VUE 8 RESIDENCE, PASIR RIS HEIGHTS, Singapore","VUE 8 RESIDENCE","PASIR RIS HEIGHTS",127917,1150000,"2021-09-01","Strata",101,11386,"Condominium",18,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2012,87,"1m-1.25m","70-100",103.9409971,1.3820968,"East"
"120432",120432,120432,"SERANGOON GARDEN ESTATE, BURGHLEY DRIVE, Singapore","SERANGOON GARDEN ESTATE","BURGHLEY DRIVE",88416,5700000,"2024-03-01","Land",260.2,21906,"Semi-Detached House",19,"Outside Central Region","-","Landed",5,0,3,1,1,1956,931,"5m-10m","100+",103.864699,1.3612148,"East"
"51108",51108,51108,"Block 436C, FERNVALE RD, Singapore","HDB","FERNVALE RD",28352,455000,"2022-06-01","Non",70,6500,"Model A HDB",19,"Outside Central Region","21 to 25","Public Housing",3,0,1,1,1,2010,86.75,"400k-500k","70-100",103.8761093,1.3938619,"North"
"54443",54443,54443,"Block 462, CHOA CHU KANG AVE 4, Singapore","HDB","CHOA CHU KANG AVE 4",53857,568888,"2023-01-01","Non",123,4625.105691,"Premium Apartment HDB",23,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2000,76.25,"500k-600k","70-100",103.7415944,1.3827764,"West"
